Collection Name,Document Count
c2_l8_167_60m,2825997
c2_l8_107_90m,637704
c2_l8_208_100m,2231939
c2_l8_95_30m,529476
c2_l8_151_10m,1796460
c2_l8_144_125m,431746
c2_l8_167_30m,2825997
c2_l8_211_15m,1032321
c2_l8_16_125m,745524
c2_l8_186_20m,2623509
c2_l8_116_15m,1689925
c2_l8_227_100m,2191658
c2_l8_228_15m,2194189
c2_l8_223_10m,277281
c2_l8_171_15m,2601448
c2_l8_210_20m,2014950
c2_l8_147_15m,3079160
c2_l8_78_90m,1614902
c2_l8_187_90m,1976576
c2_l8_107_40m,637704
c2_l8_222_250m,278486
c2_l8_88_125m,768825
c2_l8_100_1m,1638498
c2_l8_69_40m,309869
c2_l8_89_40m,1096358
c2_l8_168_40m,2238632
c2_l8_34_20m,1697108
c2_l8_216_125m,648209
c2_l8_203_60m,1981901
c2_l8_74_250m,667718
c2_l8_193_40m,1559034
c2_l8_39_30m,21229
c2_l8_58_90m,1594536
c2_l8_161_10m,16919
c2_l8_187_100m,1976576
c2_l8_74_40m,667718
c2_l8_112_40m,62754
c2_l8_73_90m,1398668
c2_l8_88_60m,768825
c2_l8_240_40m,2732247
c1_l8_402_60m,272619
c2_l8_57_1m,1330967
c2_l8_184_100m,911503
c2_l8_224_30m,85048
c2_l8_221_10m,589792
c2_l8_139_250m,1034425
c2_l8_77_125m,2433771
c2_l8_187_20m,1976576
c2_l8_145_250m,395699
c2_l8_53_10m,1120278
c2_l8_38_40m,213700
c2_l8_188_250m,2521789
c2_l8_38_100m,213700
c2_l8_168_250m,2238632
c2_l8_234_1m,908685
c2_l8_69_15m,309869
c2_l8_75_90m,213978
c2_l8_109_15m,1608118
c2_l8_182_30m,1394786
c2_l8_212_40m,1386696
c2_l8_238_40m,1270
c2_l8_110_100m,1222630
c2_l8_206_90m,800000
c2_l8_182_125m,1394786
c2_l8_216_1m,648209
c2_l8_193_250m,1559034
c2_l8_150_20m,2602671
c2_l8_221_30m,589792
c2_l8_96_100m,2153583
c2_l8_221_90m,589792
c2_l8_146_1m,1976380
c2_l8_70_90m,183688
c2_l8_184_15m,911503
c2_l8_190_100m,2366606
c2_l8_109_250m,1608118
c2_l8_211_10m,1032321
c2_l8_231_30m,1190391
c2_l8_235_15m,1336166
c2_l8_97_10m,2447590
c2_l8_219_40m,49919
c2_l8_155_20m,183264
c2_l8_202_40m,2892209
c2_l8_177_100m,283519
c2_l8_171_20m,2601448
c2_l8_36_20m,1842064
c2_l8_212_30m,1386696
c2_l8_110_90m,1222630
c2_l8_224_60m,85048
c2_l8_120_40m,937251
c2_l8_125_10m,54471
c2_l8_192_100m,1208800
c2_l8_241_250m,2521158
c2_l8_193_1m,1559034
c2_l8_74_20m,667718
c2_l8_231_60m,1190391
c2_l8_140_90m,131305
c2_l8_56_60m,1120278
c2_l8_193_15m,1559034
c2_l8_74_1m,667718
c2_l8_219_250m,49919
c2_l8_145_10m,395699
c2_l8_227_1m,2191658
c2_l8_194_1m,317742
c2_l8_17_1m,196548
c2_l8_240_60m,2732247
c2_l8_176_250m,95877
c2_l8_31_125m,64421
c2_l8_202_125m,2892209
c2_l8_16_100m,745524
c2_l8_239_100m,2632519
c2_l8_92_100m,1860925
c2_l8_151_40m,1796460
c2_l8_197_1m,640249
c2_l8_171_10m,2601448
c2_l8_232_30m,266966
c2_l8_214_125m,1059523
c2_l8_198_40m,2161874
c2_l8_129_30m,2682329
c2_l8_177_40m,283519
c2_l8_56_1m,1120278
c2_l8_69_20m,309869
c2_l8_148_30m,3024003
c2_l8_70_20m,183282
c2_l8_156_250m,1673159
c2_l8_228_10m,2194189
c2_l8_148_20m,3024003
c2_l8_115_10m,130602
c2_l8_192_20m,1208800
c2_l8_167_100m,2825997
c2_l8_128_15m,2529290
c2_l8_165_30m,3167443
c2_l8_200_125m,97268
c2_l8_234_40m,908685
c2_l8_231_40m,1190391
c2_l8_178_15m,404972
c2_l8_34_10m,1697108
c1_l8_161_60m,208681
c2_l8_58_10m,1594536
c1_l8_399_60m,235535
c2_l8_75_125m,213978
c2_l8_171_100m,2601448
c2_l8_97_30m,2447590
c2_l8_127_250m,1154331
c2_l8_120_250m,937251
c2_l8_238_15m,1270
c2_l8_87_250m,254924
c2_l8_73_125m,1398668
c2_l8_173_125m,482483
c2_l8_91_30m,1680415
c2_l8_155_40m,183264
c2_l8_155_60m,183264
c2_l8_59_15m,351144
c2_l8_166_90m,3340706
c2_l8_192_30m,1208800
c2_l8_203_15m,1981901
c2_l8_214_90m,1059523
c2_l8_233_30m,750426
c2_l8_89_1m,1096358
c2_l8_240_30m,2732247
c2_l8_211_90m,1032321
c2_l8_52_60m,2005110
c2_l8_15_20m,895161
c2_l8_148_15m,3024003
c2_l8_128_1m,2529290
c2_l8_88_90m,768825
c2_l8_201_60m,1847602
c2_l8_68_90m,261995
c2_l8_212_20m,1386696
c2_l8_111_90m,231391
c2_l8_77_60m,2433771
c2_l8_80_100m,1884720
c2_l8_91_20m,1680415
c2_l8_171_1m,2601448
c2_l8_100_15m,1638498
c2_l8_208_10m,2231939
c2_l8_172_10m,1693301
c2_l8_147_30m,3079160
c2_l8_163_125m,340730
c2_l8_227_40m,2191658
c2_l8_76_100m,1680519
c2_l8_93_1m,1676591
c2_l8_201_125m,1847602
c2_l8_167_250m,2825997
c2_l8_115_1m,130602
c2_l8_189_100m,2613623
c2_l8_111_15m,231391
c2_l8_209_100m,1361162
c2_l8_165_10m,3167443
c2_l8_222_40m,278486
c2_l8_166_15m,3340706
c2_l8_89_10m,1096358
c2_l8_183_100m,1307946
c2_l8_169_125m,1394246
c2_l8_194_10m,317742
c2_l8_190_10m,2366606
c2_l8_79_15m,1583502
c2_l8_146_125m,1976380
c2_l8_191_60m,1722129
c2_l8_120_20m,937251
c2_l8_193_20m,1559034
c2_l8_237_30m,282265
c2_l8_144_10m,431746
c2_l8_240_90m,2732247
c2_l8_163_15m,340730
c2_l8_215_15m,102682
c2_l8_107_250m,637704
c2_l8_181_250m,1096562
c2_l8_89_250m,1096358
c2_l8_206_60m,800000
c2_l8_211_20m,1032321
c2_l8_184_1m,911503
c2_l8_197_100m,640249
c2_l8_241_1m,2521158
c2_l8_209_30m,1361162
c2_l8_98_40m,1862413
c2_l8_36_1m,1842064
c2_l8_136_90m,2659096
c2_l8_87_30m,254924
c2_l8_231_100m,1190391
c2_l8_32_250m,503577
c2_l8_161_125m,16919
c2_l8_70_1m,183282
c1_l8_228_60m,462394
c2_l8_57_90m,1330967
c2_l8_172_125m,1693301
c2_l8_203_30m,1981901
c2_l8_144_15m,431746
c2_l8_87_60m,254924
c2_l8_174_30m,380454
c2_l8_227_90m,2191658
c2_l8_37_250m,1129380
c2_l8_118_15m,1430551
c2_l8_14_60m,69735
c2_l8_177_60m,283519
c2_l8_164_250m,1437531
c2_l8_190_60m,2366606
c1_l8_665_60m,6122
c2_l8_183_10m,1307946
c2_l8_162_20m,40138
c2_l8_140_30m,131305
c2_l8_230_90m,346567
c2_l8_224_15m,85048
c2_l8_177_125m,283519
c2_l8_117_30m,2044078
c2_l8_87_15m,254924
c2_l8_57_10m,1330967
c2_l8_164_60m,1437531
c2_l8_173_250m,482483
c2_l8_17_10m,196548
c2_l8_78_40m,1614902
c2_l8_127_125m,1154331
c2_l8_92_15m,1860925
c2_l8_90_30m,877724
c1_l8_670_60m,487
c2_l8_233_60m,750426
c2_l8_135_10m,80165
c2_l8_214_10m,1059523
c2_l8_60_250m,541674
c2_l8_203_20m,1981901
c2_l8_150_30m,2602671
c2_l8_154_30m,39540
c2_l8_156_100m,1673159
c2_l8_179_250m,240759
c2_l8_75_250m,213978
c2_l8_157_30m,417961
c2_l8_125_90m,54471
c2_l8_89_90m,1096358
c2_l8_117_125m,2044078
c2_l8_227_125m,2191658
c1_l8_280_60m,206527
c2_l8_173_100m,482483
c2_l8_217_10m,1234592
c2_l8_100_125m,1638498
c2_l8_119_30m,1614414
c2_l8_94_100m,843662
c2_l8_237_125m,282265
c2_l8_178_20m,404972
c2_l8_204_15m,1965156
c2_l8_80_30m,1884720
c2_l8_170_40m,1503586
c2_l8_238_1m,1270
c2_l8_94_10m,843662
c2_l8_157_10m,417961
c2_l8_156_90m,1673159
c2_l8_225_250m,1362470
c2_l8_137_10m,2048975
c2_l8_241_40m,2521158
c2_l8_115_15m,130602
c2_l8_136_15m,2659096
c2_l8_185_250m,3195387
c2_l8_113_125m,212219
c2_l8_216_10m,648209
c1_l8_622_60m,440383
c2_l8_168_1m,2238632
c2_l8_39_125m,21229
c2_l8_131_100m,250870
c2_l8_16_30m,745524
c2_l8_78_250m,1614902
c2_l8_146_10m,1976380
c1_l8_180_60m,5534
c1_l8_504_60m,110495
c2_l8_95_60m,529476
c2_l8_209_60m,1361162
c2_l8_100_250m,1638498
c1_l8_532_60m,644503
c2_l8_37_60m,1129380
c2_l8_178_250m,404972
c2_l8_109_40m,1608118
c2_l8_178_90m,404972
c2_l8_115_250m,130602
c2_l8_239_20m,2632519
c2_l8_186_250m,2623509
c2_l8_177_250m,283519
c2_l8_36_15m,1842064
c2_l8_152_1m,520
c2_l8_126_20m,173904
c2_l8_87_1m,254924
c2_l8_115_100m,130602
c2_l8_36_60m,1842064
c2_l8_34_100m,1697108
c2_l8_145_30m,395699
c2_l8_181_30m,1096562
c2_l8_120_10m,937251
c2_l8_96_1m,2153583
c2_l8_117_20m,2044078
c2_l8_214_30m,1059523
c2_l8_199_100m,391051
c2_l8_92_30m,1860925
c2_l8_126_30m,173904
c2_l8_220_250m,10986
c2_l8_205_10m,1219899
c2_l8_88_250m,768825
c2_l8_137_100m,2048975
c2_l8_208_250m,2231939
c2_l8_99_10m,1493203
c2_l8_178_10m,404972
c2_l8_201_30m,1847602
c2_l8_140_250m,131305
c2_l8_140_100m,131305
c2_l8_80_20m,1884720
c2_l8_161_30m,16919
c2_l8_205_30m,1219899
c2_l8_234_250m,908685
c2_l8_33_100m,111780
c2_l8_238_10m,1270
c2_l8_110_30m,1222630
c2_l8_58_40m,1594536
c2_l8_202_60m,2892209
c2_l8_200_40m,97268
c2_l8_183_90m,1307946
c1_l8_609_60m,345364
c2_l8_213_90m,741369
c2_l8_89_125m,1096358
c2_l8_229_30m,614630
c2_l8_194_125m,317742
c2_l8_77_40m,2433771
c2_l8_98_250m,1862413
c2_l8_167_1m,2825997
c2_l8_226_10m,2340907
c2_l8_57_60m,1330967
c2_l8_228_40m,2194189
c2_l8_198_90m,2161874
c2_l8_188_30m,2521789
c2_l8_236_20m,845138
c2_l8_181_125m,1096562
c2_l8_239_40m,2632519
c2_l8_90_15m,877724
c2_l8_233_15m,750426
c2_l8_165_15m,3167443
c2_l8_67_100m,49662
c2_l8_156_30m,1673159
c2_l8_95_20m,529476
c2_l8_127_100m,1154331
c2_l8_230_60m,346567
c2_l8_168_125m,2238632
c2_l8_229_90m,614630
c2_l8_152_125m,520
c2_l8_76_125m,1680519
c2_l8_117_40m,2044078
c2_l8_136_60m,2659096
c2_l8_210_40m,2014950
c2_l8_233_10m,750426
c2_l8_131_30m,250870
c2_l8_54_15m,709384
c2_l8_208_125m,2231939
c2_l8_182_10m,1394786
c2_l8_215_30m,102682
c2_l8_94_90m,843662
c2_l8_218_1m,594513
c2_l8_234_20m,908685
c2_l8_172_15m,1693301
c2_l8_33_30m,111780
c2_l8_100_20m,1638498
c2_l8_138_60m,1206439
c2_l8_72_40m,1811654
c2_l8_171_250m,2601448
c2_l8_216_60m,648209
c2_l8_164_20m,1437531
c2_l8_210_100m,2014950
c2_l8_154_90m,39540
c2_l8_129_15m,2682329
c2_l8_223_250m,277281
c2_l8_177_10m,283519
c2_l8_150_1m,2602671
c2_l8_32_100m,503577
c2_l8_78_60m,1614902
c2_l8_241_125m,2521158
c2_l8_187_40m,1976576
c1_l8_41_60m,24488
c2_l8_157_100m,417961
c2_l8_172_1m,1693301
c1_l8_499_60m,34746
c2_l8_198_30m,2161874
c2_l8_118_60m,1430551
c2_l8_225_1m,1362470
c2_l8_197_90m,640249
c2_l8_171_125m,2601448
c2_l8_112_30m,62754
c2_l8_177_20m,283519
c2_l8_194_15m,317742
c2_l8_131_15m,250870
c2_l8_240_250m,2732247
c2_l8_68_250m,261995
c2_l8_220_100m,10986
c2_l8_94_125m,843662
c2_l8_14_30m,69735
c2_l8_56_250m,1120278
c2_l8_200_1m,97268
c2_l8_35_1m,1519336
c2_l8_60_125m,541674
c2_l8_67_30m,49662
c2_l8_239_30m,2632519
c2_l8_119_60m,1614414
c2_l8_226_125m,2340907
c2_l8_203_250m,1981901
c2_l8_124_30m,83057
c2_l8_112_1m,62754
c2_l8_242_10m,2333745
c2_l8_117_60m,2044078
c2_l8_91_15m,1680415
c2_l8_38_1m,213700
c2_l8_209_1m,1361162
c2_l8_233_250m,750426
c2_l8_219_30m,49919
c2_l8_71_20m,2395819
c2_l8_148_10m,3024003
c2_l8_200_100m,97268
c2_l8_242_250m,2333745
c2_l8_162_30m,40138
c2_l8_201_40m,1847602
c2_l8_175_250m,40617
c2_l8_170_90m,1503586
c2_l8_225_20m,1362470
c2_l8_100_30m,1638498
c2_l8_237_250m,282265
c2_l8_70_250m,183688
c2_l8_152_100m,520
c2_l8_175_1m,40617
c2_l8_14_125m,69735
c2_l8_149_10m,2708084
c2_l8_15_60m,895161
c2_l8_91_100m,1680415
c2_l8_173_15m,482483
c2_l8_74_60m,667718
c2_l8_73_1m,1398668
c2_l8_238_60m,1270
c2_l8_154_60m,39540
c2_l8_139_20m,1034425
c2_l8_201_100m,1847602
c2_l8_210_10m,2014950
c2_l8_184_10m,911503
c2_l8_93_125m,1676591
c2_l8_90_125m,877724
c2_l8_218_100m,594513
c1_l8_548_60m,574281
c2_l8_56_10m,1120278
c2_l8_16_60m,745524
c2_l8_150_15m,2602671
c2_l8_59_90m,351144
c2_l8_162_90m,40138
c2_l8_111_250m,231391
c2_l8_135_125m,80165
c2_l8_56_100m,1120278
c2_l8_109_20m,1608118
c2_l8_109_90m,1608118
c2_l8_240_100m,2732247
c2_l8_97_90m,2447590
c2_l8_178_1m,404972
c2_l8_151_100m,1796460
c2_l8_115_40m,130602
c2_l8_173_40m,482483
c2_l8_76_40m,1680519
c2_l8_208_20m,2231939
c1_l8_69_60m,349269
c2_l8_156_1m,1673159
c2_l8_171_30m,2601448
c2_l8_189_20m,2613623
c2_l8_100_10m,1638498
c1_l8_623_60m,488085
c2_l8_138_1m,1206439
c2_l8_192_1m,1208800
c2_l8_33_15m,111780
c2_l8_32_125m,503577
c2_l8_113_40m,212219
c2_l8_188_125m,2521789
c2_l8_154_100m,39540
c2_l8_189_40m,2613623
c2_l8_144_20m,431746
c2_l8_216_90m,648209
c2_l8_72_30m,1811654
c2_l8_56_125m,1120278
c2_l8_99_250m,1493203
c2_l8_59_1m,351144
c2_l8_194_30m,317742
c2_l8_209_250m,1361162
c2_l8_177_1m,283519
c2_l8_36_125m,1842064
c1_l8_469_60m,22089
c2_l8_80_1m,1884720
c2_l8_225_125m,1362470
c2_l8_220_15m,10986
c2_l8_52_30m,2005110
c2_l8_174_15m,380454
c2_l8_118_125m,1430551
c2_l8_97_60m,2447590
c2_l8_91_90m,1680415
c2_l8_168_100m,2238632
c2_l8_92_250m,1860925
c2_l8_17_100m,196548
c2_l8_172_20m,1693301
c1_l8_190_60m,387628
c2_l8_238_30m,1270
c2_l8_97_40m,2447590
c2_l8_127_20m,1154331
c2_l8_93_60m,1676591
c2_l8_169_30m,1394246
c2_l8_58_1m,1594536
c2_l8_193_100m,1559034
c2_l8_179_30m,240759
c2_l8_186_125m,2623509
c2_l8_126_40m,173904
c2_l8_97_125m,2447590
c2_l8_60_30m,541674
c2_l8_31_100m,64421
c2_l8_111_20m,231391
c2_l8_90_10m,877724
c2_l8_94_40m,843662
c2_l8_139_125m,1034425
c2_l8_73_10m,1398668
c2_l8_138_40m,1206439
c2_l8_174_40m,380454
c2_l8_239_15m,2632519
c2_l8_204_40m,1965156
c2_l8_162_60m,40138
c2_l8_77_100m,2433771
c2_l8_145_90m,395699
c2_l8_56_90m,1120278
c2_l8_136_10m,2659096
c2_l8_229_20m,614630
c2_l8_130_125m,2853556
c2_l8_60_10m,541674
c2_l8_226_100m,2340907
c2_l8_179_90m,240759
c1_l8_638_60m,997778
c2_l8_183_1m,1307946
c2_l8_221_20m,589792
c2_l8_74_10m,667718
c2_l8_56_30m,1120278
c2_l8_116_40m,1689925
c2_l8_51_90m,1387659
c2_l8_198_1m,2161874
c2_l8_178_125m,404972
c2_l8_53_30m,1120278
c2_l8_146_40m,1976380
c1_l8_682_60m,190532
c2_l8_78_125m,1614902
c1_l8_370_60m,352860
c2_l8_237_15m,282265
c2_l8_69_90m,309869
c2_l8_232_10m,266966
c2_l8_128_30m,2529290
c2_l8_124_40m,83057
c2_l8_79_30m,1583502
c2_l8_110_10m,1222630
c2_l8_200_20m,97268
c2_l8_97_250m,2447590
c2_l8_14_1m,69735
c2_l8_199_30m,391051
c2_l8_31_20m,64421
c2_l8_35_60m,1519336
c2_l8_130_15m,2853556
c2_l8_79_10m,1583502
c2_l8_241_10m,2521158
c2_l8_33_10m,111780
c2_l8_172_90m,1693301
c2_l8_75_20m,213978
c1_l8_580_60m,9432
c1_l8_592_60m,687034
c2_l8_199_90m,391051
c2_l8_58_15m,1594536
c2_l8_93_10m,1676591
c2_l8_39_60m,21229
c2_l8_191_1m,1722129
c2_l8_151_60m,1796460
c2_l8_212_90m,1386696
c2_l8_96_125m,2153583
lookup,1427688
c2_l8_192_10m,1208800
c2_l8_175_30m,40617
c2_l8_182_60m,1394786
c2_l8_53_100m,1120278
c2_l8_131_10m,250870
c2_l8_31_1m,64421
c2_l8_119_250m,1614414
c2_l8_33_1m,111780
c2_l8_16_40m,745524
c2_l8_156_10m,1673159
c2_l8_235_30m,1336166
c2_l8_219_125m,49919
c2_l8_235_90m,1336166
c2_l8_79_40m,1583502
c2_l8_202_30m,2892209
c2_l8_17_125m,196548
c2_l8_163_1m,340730
c2_l8_53_125m,1120278
c2_l8_232_90m,266966
c2_l8_239_250m,2632519
c2_l8_236_100m,845138
c2_l8_187_30m,1976576
c2_l8_80_90m,1884720
c2_l8_242_40m,2333745
